id,task,stimulus,density,frequency,length,item,rt,log_rt,correct,NumID
N9,naming,word,high,low,5,shave,.6,-.510825623765991,TRUE,45
N9,naming,nonword,high,low,5,smale,.722,-.325730140089311,TRUE,45
N9,naming,nonword,high,high,4,eint,.963,-.0377018671840115,TRUE,45
N9,naming,word,high,low,5,grate,.861,-.149660774554406,TRUE,45
N9,naming,word,high,high,6,paying,.631,-.460449416440924,TRUE,45
N9,naming,word,low,high,5,queen,.598,-.514164525031505,TRUE,45
N9,naming,nonword,low,low,6,skeech,.776,-.253602758798918,TRUE,45
N9,naming,word,low,high,4,edge,.565,-.570929547835696,TRUE,45
N9,naming,word,low,high,6,normal,.514,-.665532013526972,TRUE,45
N9,naming,nonword,high,low,4,looc,.701,-.355247391947547,TRUE,45
N9,naming,nonword,low,low,5,volms,.615,-.486133011175619,TRUE,45
N9,naming,nonword,high,low,5,feeks,.755,-.281037529733112,TRUE,45
N9,naming,nonword,low,high,4,iurk,.733,-.310609577095486,TRUE,45
N9,naming,word,low,low,5,irons,.549,-.599656837472606,TRUE,45
N9,naming,word,high,high,5,sight,.644,-.440056552877783,TRUE,45
N9,naming,nonword,low,high,5,stfte,.923,-.0801260444792849,TRUE,45
N9,naming,word,low,high,4,knee,.723,-.324346056823372,TRUE,45
N9,naming,nonword,high,high,5,ioles,.66,-.415515443961666,TRUE,45
N9,naming,nonword,low,low,6,glabed,.922,-.0812100554255432,TRUE,45
N9,naming,word,high,low,4,reed,.682,-.382725621138675,TRUE,45
N9,naming,word,low,low,6,flexed,.611,-.492658319810542,TRUE,45
N9,naming,nonword,low,high,4,wlus,1.118,.111541374732908,TRUE,45
N9,naming,word,low,low,6,taxing,.618,-.481266821524446,TRUE,45
N9,naming,nonword,low,low,5,scaig,.818,-.20089294237939,TRUE,45
N9,naming,nonword,high,high,6,peeaed,1.277,.244513577050402,TRUE,45
N9,naming,nonword,high,low,5,keeks,.589,-.52932909533055,TRUE,45
N9,naming,nonword,high,high,4,tiue,.815,-.204567165741274,TRUE,45
N9,naming,word,high,low,5,liner,.583,-.539568092631645,TRUE,45
N9,naming,nonword,high,low,4,dute,.623,-.473208760194684,TRUE,45
N9,naming,nonword,low,low,6,thrued,.605,-.502526820951296,TRUE,45
N9,naming,word,high,high,5,match,.533,-.629233854816292,TRUE,45
N9,naming,nonword,low,low,5,thaik,.813,-.207024169434327,TRUE,45
N9,naming,nonword,high,high,5,uands,1.121,.114221144090023,TRUE,45
N9,naming,word,low,low,4,oxen,.941,-.0608121393967575,TRUE,45
N9,naming,nonword,low,high,4,muwf,1.018,.017839918128331,TRUE,45
N9,naming,nonword,high,high,4,diae,.725,-.321583624127462,TRUE,45
N9,naming,word,low,high,6,handed,.503,-.687165108882398,TRUE,45
N9,naming,word,low,high,6,dreams,.506,-.681218609694672,TRUE,45
N9,naming,nonword,low,high,5,yarzs,.614,-.487760350834995,TRUE,45
N9,naming,nonword,high,high,5,oines,.815,-.204567165741274,TRUE,45
N9,naming,word,high,low,5,merry,.675,-.393042588109607,TRUE,45
N9,naming,word,high,low,6,licked,.535,-.62548853208613,TRUE,45
N9,naming,word,low,low,4,defy,.606,-.500875292912823,TRUE,45
N9,naming,word,high,high,4,test,.541,-.614336000135655,TRUE,45
N9,naming,nonword,low,low,5,dwice,.658,-.41855034765682,TRUE,45
N9,naming,word,high,high,4,boat,.514,-.665532013526972,TRUE,45
N9,naming,word,low,low,5,roast,.511,-.671385688778433,TRUE,45
N9,naming,nonword,high,low,6,tinked,.492,-.709276562489829,TRUE,45
N9,naming,word,low,low,6,pearls,.535,-.62548853208613,TRUE,45
N9,naming,nonword,high,low,5,zaste,.848,-.164874643190234,TRUE,45
N9,naming,nonword,low,high,5,ayped,.814,-.205794912979597,TRUE,45
N9,naming,word,low,low,6,inform,.509,-.675307262431614,TRUE,45
N9,naming,word,high,high,5,sales,.645,-.438504962186365,TRUE,45
N9,naming,nonword,low,high,6,sjints,1.682,.519983561550756,TRUE,45
N9,naming,nonword,high,low,6,lanked,1.084,.0806579030174545,TRUE,45
N9,naming,word,low,high,6,weight,.531,-.632993257740198,TRUE,45
N9,naming,nonword,low,low,4,merg,.628,-.465215112513938,TRUE,45
N9,naming,nonword,low,low,6,weiths,.795,-.229413164327805,TRUE,45
N9,naming,word,high,high,6,latter,.515,-.663588378318401,TRUE,45
N9,naming,nonword,low,high,4,nras,.814,-.205794912979597,TRUE,45
N9,naming,nonword,high,high,5,aoped,.855,-.156653810045377,TRUE,45
N9,naming,nonword,high,high,5,ueans,1.434,.360467742177429,TRUE,45
N9,naming,nonword,high,high,6,xashed,1.359,.306749135169007,TRUE,45
N9,naming,nonword,high,low,6,snocks,1.052,.0506931143155182,TRUE,45
N9,naming,nonword,high,high,4,braj,.947,-.0544561857960589,TRUE,45
N9,naming,word,high,high,6,formed,.526,-.642454066244427,TRUE,45
N9,naming,word,low,low,5,quart,.729,-.316081546973479,TRUE,45
N9,naming,word,high,low,4,wink,.756,-.279713902802604,TRUE,45
N9,naming,word,high,high,5,faced,.567,-.567395975254385,TRUE,45
N9,naming,word,low,high,6,effort,.484,-.725670372265505,TRUE,45
N9,naming,word,low,low,4,mesh,.575,-.553385238184787,TRUE,45
N9,naming,word,high,high,4,rise,.532,-.631111789640493,TRUE,45
N9,naming,nonword,high,high,5,wiwes,.951,-.0502412164367468,TRUE,45
N9,naming,nonword,low,high,5,mowzd,1.078,.0751074724868055,TRUE,45
N9,naming,word,low,low,6,larvae,1.152,.141499562273699,TRUE,45
N9,naming,word,low,low,4,wrap,.699,-.358104536748327,TRUE,45
N9,naming,word,high,high,6,bitter,.614,-.487760350834995,TRUE,45
N9,naming,word,high,high,4,push,.483,-.727738625329564,TRUE,45
N9,naming,word,low,low,5,cured,.624,-.471604910612709,TRUE,45
N9,naming,word,low,low,4,void,.556,-.586986984731555,TRUE,45
N9,naming,nonword,high,low,5,wumps,.702,-.353821874956326,TRUE,45
N9,naming,word,low,low,5,baton,.745,-.294371060602578,TRUE,45
N9,naming,nonword,high,low,4,mies,.721,-.327116141697188,TRUE,45
N9,naming,nonword,low,high,6,yurtwh,1.119,.112435429329788,TRUE,45
N9,naming,word,low,low,5,sofas,.92,-.083381608939051,TRUE,45
N9,naming,nonword,high,low,6,blaved,.574,-.555125882662571,TRUE,45
N9,naming,nonword,low,high,5,blavt,.747,-.29169009384932,TRUE,45
N9,naming,word,high,high,4,sold,.997,-.00300450902029872,TRUE,45
N9,naming,nonword,high,high,4,iout,.727,-.318828801448618,TRUE,45
N9,naming,word,high,low,5,wakes,.59,-.527632742082372,TRUE,45
N9,naming,nonword,high,low,4,bims,.583,-.539568092631645,TRUE,45
N9,naming,nonword,low,low,5,grieg,.774,-.25618340539241,TRUE,45
N9,naming,nonword,high,low,4,fims,.696,-.362405618647717,TRUE,45
N9,naming,nonword,low,low,6,drownt,.713,-.338273858567841,TRUE,45
N9,naming,nonword,low,high,6,snoqze,1.366,.311886761148598,TRUE,45
N9,naming,nonword,low,high,5,monqh,1.051,.049742091894814,TRUE,45
N9,naming,word,high,high,6,pulled,.873,-.135819723142535,TRUE,45
N9,naming,nonword,low,low,5,clett,.53,-.63487827243597,TRUE,45
N9,naming,word,high,low,5,mouse,.552,-.594207232705042,TRUE,45
N9,naming,word,high,low,4,swan,.637,-.450985623409974,TRUE,45
N9,naming,word,low,high,6,rolled,.564,-.572701027484078,TRUE,45
N9,naming,nonword,high,low,5,solts,.619,-.479650006297541,TRUE,45
N9,naming,word,low,high,4,drop,.537,-.621757184473272,TRUE,45
N9,naming,word,low,high,6,wished,.529,-.636766847123838,TRUE,45
N9,naming,nonword,low,low,4,shuf,.506,-.681218609694672,TRUE,45
N9,naming,nonword,high,high,6,einged,.982,-.0181639706276712,TRUE,45
N9,naming,word,low,high,6,cattle,.513,-.667479433811368,TRUE,45
N9,naming,word,low,high,4,desk,.494,-.705219761794215,TRUE,45
N9,naming,nonword,low,low,4,veut,.92,-.083381608939051,TRUE,45
N9,naming,word,high,low,5,tunes,.525,-.644357016390513,TRUE,45
N9,naming,word,high,low,4,leak,.491,-.711311151187616,TRUE,45
N9,naming,nonword,low,high,6,lulred,.891,-.115410851511328,TRUE,45
N9,naming,nonword,high,high,5,aeals,.894,-.112049503808623,TRUE,45
N9,naming,word,high,low,6,spared,.691,-.369615455214467,TRUE,45
N12,naming,nonword,low,low,4,gwil,1.192,.175632568643158,TRUE,27
N12,naming,nonword,low,high,4,aerd,1.173,.159564569671338,TRUE,27
N12,naming,word,high,low,4,tilt,.801,-.221894331913778,TRUE,27
N12,naming,word,low,low,4,soak,.597,-.515838165589535,TRUE,27
N12,naming,word,high,high,4,ship,.557,-.585190039054853,TRUE,27
N12,naming,nonword,high,low,4,looc,.859,-.151986356997882,TRUE,27
N12,naming,nonword,low,low,6,glabed,1.562,.445967051417494,TRUE,27
N12,naming,word,low,low,4,oxen,1.311,.270790204781563,TRUE,27
N12,naming,word,low,high,4,unit,1.337,.290428298119806,TRUE,27
N12,naming,nonword,high,low,5,zaste,1.253,.225540675913931,TRUE,27
N12,naming,word,low,low,6,flexed,1.261,.231905056982782,TRUE,27
N12,naming,word,low,low,6,chewed,.773,-.257476230394715,TRUE,27
N12,naming,word,low,high,4,eggs,.636,-.452556715642015,TRUE,27
N12,naming,word,high,low,4,coil,.608,-.49758039701597,TRUE,27
N12,naming,nonword,high,low,4,slol,.641,-.444725822061467,TRUE,27
N12,naming,word,high,high,5,sales,.598,-.514164525031505,TRUE,27
N12,naming,nonword,low,high,5,joljs,1.147,.137149838147234,TRUE,27
N12,naming,nonword,low,low,5,dwice,.949,-.0523464803722092,TRUE,27
N12,naming,word,high,low,6,wailed,.878,-.13010868534702,TRUE,27
N12,naming,word,high,high,4,note,.717,-.332679438382517,TRUE,27
N12,naming,word,high,low,6,lashes,.766,-.266573109241546,TRUE,27
N12,naming,nonword,high,high,5,ients,1.151,.140631129739746,TRUE,27
N12,naming,word,low,high,4,knee,.833,-.182721636815294,TRUE,27
N12,naming,word,low,high,5,serve,.57,-.562118918153541,TRUE,27
N12,naming,word,low,low,6,pearls,.633,-.457284856837961,TRUE,27
N12,naming,word,high,low,5,liner,.696,-.362405618647717,TRUE,27
N12,naming,nonword,high,high,5,aeeds,1.898,.640800700187736,TRUE,27
N12,naming,word,low,low,5,ounce,1.476,.389335726178281,TRUE,27
N12,naming,word,low,high,5,funds,1.183,.16805358499625,TRUE,27
N12,naming,word,high,low,6,licked,1.167,.154436353304419,TRUE,27
N12,naming,nonword,low,low,4,kyth,1.096,.0916671885258239,TRUE,27
N12,naming,nonword,low,high,6,ticyed,1.2,.182321556793955,TRUE,27
N12,naming,word,high,high,5,match,1.564,.447246642123119,TRUE,27
N12,naming,nonword,high,high,4,diae,1.504,.408128225527648,TRUE,27
N12,naming,nonword,high,high,6,peeaed,1.721,.542905517229402,TRUE,27
N12,naming,nonword,high,high,6,uilled,1.519,.418052223613636,TRUE,27
N12,naming,nonword,high,high,6,qobbed,2.535,.930193637043147,TRUE,27
N12,naming,word,high,high,5,loved,1.25,.22314355131421,TRUE,27
N12,naming,word,low,low,4,grub,.697,-.360969868221613,TRUE,27
N12,naming,nonword,high,high,4,iape,.906,-.0987159729391577,TRUE,27
N12,naming,word,high,high,6,leader,.581,-.543004522130226,TRUE,27
N12,naming,nonword,low,high,6,nekved,1.261,.231905056982782,TRUE,27
N12,naming,nonword,low,high,4,iurk,1.203,.184818436992542,TRUE,27
N12,naming,word,low,high,6,normal,.952,-.0491902441907718,TRUE,27
N12,naming,nonword,low,high,6,sjints,.862,-.148500008318444,TRUE,27
N12,naming,nonword,high,low,6,tinked,.868,-.141563564321787,TRUE,27
N12,naming,word,high,low,6,jailed,.67,-.400477566597125,TRUE,27
N12,naming,nonword,low,low,6,keched,1.427,.355574338494699,TRUE,27
N12,naming,word,low,high,6,tongue,.922,-.0812100554255432,TRUE,27
N12,naming,nonword,low,low,5,thaik,.731,-.313341819232359,TRUE,27
N12,naming,nonword,high,low,4,baln,.888,-.118783535989967,TRUE,27
N12,naming,nonword,high,low,5,feeks,.772,-.258770728957361,TRUE,27
N12,naming,word,high,high,6,paying,.585,-.536143431750281,TRUE,27
N12,naming,nonword,low,high,5,stfte,1.095,.0907543632684641,TRUE,27
N12,naming,nonword,low,low,5,volms,1.001,.000999500333083423,TRUE,27
N12,naming,nonword,low,high,5,rocis,1.115,.108854404912082,TRUE,27
N12,naming,nonword,low,low,6,thrued,.938,-.0640053299759124,TRUE,27
N12,naming,nonword,high,low,5,smale,.76,-.27443684570176,TRUE,27
N12,naming,word,high,low,5,merry,.772,-.258770728957361,TRUE,27
N12,naming,word,low,high,5,brief,.627,-.466808738349216,TRUE,27
N12,naming,word,high,high,6,bitter,1.014,.0139029051689914,TRUE,27
N12,naming,nonword,low,low,5,grieg,1.23,.207014169384326,TRUE,27
N12,naming,word,high,high,5,lower,.92,-.083381608939051,TRUE,27
N12,naming,word,low,high,5,towns,.763,-.27049724769768,TRUE,27
N12,naming,word,high,high,4,yard,.793,-.231932057347289,TRUE,27
N12,naming,nonword,low,low,6,slaund,1.186,.170586300575534,TRUE,27
N12,naming,word,high,high,4,sold,.816,-.20334092401803,TRUE,27
N12,naming,nonword,low,high,5,yleak,.857,-.154317360384357,TRUE,27
N12,naming,nonword,high,low,4,bims,.797,-.226900600191922,TRUE,27
N12,naming,nonword,high,high,4,sanh,1.025,.0246926125903714,TRUE,27
N12,naming,nonword,low,low,6,breked,1.879,.630739720431328,TRUE,27
N12,naming,nonword,high,low,5,speep,.981,-.019182819416774,TRUE,27
N12,naming,nonword,low,low,5,clett,.68,-.385662480811985,TRUE,27
N12,naming,word,high,high,5,walls,.626,-.468404907882039,TRUE,27
N12,naming,word,high,low,5,mouse,.592,-.524248644098131,TRUE,27
N12,naming,nonword,low,high,6,yurtwh,1.078,.0751074724868055,TRUE,27
N12,naming,nonword,high,high,5,maqes,1.217,.19638881400539,TRUE,27
N12,naming,nonword,high,high,5,wiwes,2.261,.815807193295833,TRUE,27
N12,naming,word,low,high,5,enemy,1.242,.216722983511287,TRUE,27
N12,naming,word,low,high,5,liked,.941,-.0608121393967575,TRUE,27
N12,naming,nonword,high,high,6,xashed,2.036,.710987098688276,TRUE,27
N12,naming,nonword,high,high,6,staoes,1.393,.331459694797669,TRUE,27
N12,naming,nonword,high,high,6,grajes,1.367,.312618557741813,TRUE,27
N12,naming,nonword,high,low,6,snocks,.913,-.0910193983871685,TRUE,27
N12,naming,word,high,high,4,push,.679,-.387134151423441,TRUE,27
N12,naming,word,high,low,6,heaped,.655,-.423120043346885,TRUE,27
N12,naming,word,high,low,5,wakes,.737,-.3051673867928,TRUE,27
N12,naming,word,low,high,5,thick,.586,-.534435489405125,TRUE,27
N12,naming,word,low,low,5,cured,.688,-.373966441048793,TRUE,27
N12,naming,nonword,high,low,4,mies,.777,-.25231492861449,TRUE,27
N12,naming,word,high,low,4,swan,.561,-.578034373459441,TRUE,27
N12,naming,nonword,low,high,6,heeied,.684,-.379797361359587,TRUE,27
N12,naming,word,low,high,6,weight,.816,-.20334092401803,TRUE,27
N12,naming,nonword,high,low,6,lanked,.91,-.0943106794712413,TRUE,27
N12,naming,word,low,low,5,derby,.855,-.156653810045377,TRUE,27
N12,naming,nonword,low,low,4,merg,1.045,.0440168854167743,TRUE,27
N12,naming,nonword,high,low,4,draz,.911,-.0932123817221787,TRUE,27
N12,naming,word,low,low,4,wrap,1.27,.2390169004705,TRUE,27
N12,naming,word,low,low,5,baton,.833,-.182721636815294,TRUE,27
N12,naming,word,low,low,4,itch,.751,-.286349627218002,TRUE,27
N12,naming,nonword,high,low,4,stim,.742,-.298406035814757,TRUE,27
N12,naming,nonword,high,high,5,ueans,1.41,.343589704390077,TRUE,27
N12,naming,nonword,low,high,4,zryf,1.963,.674473915294324,TRUE,27
N12,naming,word,high,low,6,spared,1.036,.0353671438372913,TRUE,27
N12,naming,nonword,low,high,4,qymn,2.007,.696641069814201,TRUE,27
N12,naming,word,low,low,6,fluent,1.113,.107059072293408,TRUE,27
N12,naming,word,high,high,4,rise,.699,-.358104536748327,TRUE,27
N12,naming,nonword,high,high,5,aeals,.953,-.048140375327935,TRUE,27
N12,naming,nonword,high,low,5,talts,.804,-.218156009803171,TRUE,27
N12,naming,nonword,low,high,4,cruo,.795,-.229413164327805,TRUE,27
N12,naming,word,low,high,6,cattle,.657,-.420071260497527,TRUE,27
N12,naming,nonword,low,low,4,veut,1.12,.113328685307003,TRUE,27
N12,naming,word,low,low,6,larvae,1.471,.385942441619301,TRUE,27
N12,naming,word,low,high,4,bird,.798,-.225646681532328,TRUE,27
N12,naming,word,low,low,6,clique,.686,-.376877651256252,TRUE,27
N12,naming,nonword,low,high,4,nras,.967,-.0335567835288428,TRUE,27
N12,naming,word,high,low,5,scare,.651,-.429245636773568,TRUE,27
N12,naming,word,low,high,4,drop,.742,-.298406035814757,TRUE,27
N12,naming,word,high,low,6,paving,.721,-.327116141697188,TRUE,27
N12,naming,nonword,low,low,6,drownt,1.003,.00299550897979837,TRUE,27
N12,naming,word,low,high,5,block,1.06,.0582689081239758,TRUE,27
N12,naming,nonword,high,low,6,crades,.869,-.140412153716745,TRUE,27
N12,naming,nonword,low,high,4,ioed,1.967,.676509539406922,TRUE,27
N12,naming,nonword,low,low,4,naln,1.163,.151002873536527,TRUE,27
N12,naming,nonword,high,low,6,mooled,.958,-.0429075010112765,TRUE,27
N12,naming,word,low,high,5,noted,.761,-.273121921120451,TRUE,27
N12,naming,word,low,high,6,agreed,.584,-.53785429615391,TRUE,27
N12,naming,nonword,high,high,6,szores,1.435,.361164849211584,TRUE,27
N12,naming,nonword,low,high,6,typlib,1.52,.418710334858185,TRUE,27
N12,naming,nonword,high,high,6,sxared,1.938,.661656513468574,TRUE,27
N12,naming,nonword,low,low,5,shond,.822,-.196014883925957,TRUE,27
N12,naming,nonword,high,high,5,eoods,1.056,.0544881852840698,TRUE,27
N12,naming,word,low,low,5,marsh,.641,-.444725822061467,TRUE,27
N12,naming,word,high,low,5,packs,.655,-.423120043346885,TRUE,27
N12,naming,nonword,high,low,5,steek,.608,-.49758039701597,TRUE,27
N12,naming,nonword,low,low,6,sponts,.842,-.17197526473981,TRUE,27
N12,naming,word,low,low,4,isle,.761,-.273121921120451,TRUE,27
N12,naming,word,low,high,4,self,.665,-.407968238326283,TRUE,27
N12,naming,word,high,low,4,vent,.662,-.412489723045129,TRUE,27
N12,naming,word,low,low,5,hymns,.592,-.524248644098131,TRUE,27
N12,naming,word,low,high,5,doors,.59,-.527632742082372,TRUE,27
N12,naming,word,high,high,4,coat,.838,-.176737178500054,TRUE,27
N12,naming,nonword,high,high,6,stajed,.972,-.028399474521698,TRUE,27
N12,naming,word,high,low,5,hatch,.77,-.261364764134408,TRUE,27
N12,naming,nonword,high,low,4,gark,.878,-.13010868534702,TRUE,27
N12,naming,nonword,high,high,5,mioes,1.135,.126632650933366,TRUE,27
N12,naming,word,high,high,5,games,.824,-.193584749072665,TRUE,27
N12,naming,word,high,low,6,tipped,.613,-.489390343045926,TRUE,27
N12,naming,word,high,high,4,mark,.579,-.546452801409142,TRUE,27
N12,naming,word,low,high,5,facts,.575,-.553385238184787,TRUE,27
N12,naming,nonword,low,low,6,yolbed,1.099,.0944006754214843,TRUE,27
N12,naming,word,high,low,4,gilt,.812,-.208254938820459,TRUE,27
N12,naming,word,low,low,6,spiced,1.04,.0392207131532813,TRUE,27
N12,naming,word,high,low,5,minus,.835,-.180323554131282,TRUE,27
N12,naming,nonword,low,high,4,bhef,1.105,.0998453349697161,TRUE,27
N12,naming,word,high,low,5,waded,.74,-.301105092783922,TRUE,27
N12,naming,nonword,low,high,6,prahce,1.22,.198850858745165,TRUE,27
N12,naming,nonword,high,low,4,waip,1.265,.235072122179483,TRUE,27
N12,naming,nonword,high,low,5,glave,.832,-.183922838160928,TRUE,27
N12,naming,word,low,high,5,chief,.846,-.167235919375914,TRUE,27
N12,naming,nonword,high,high,6,aocked,2.083,.733809162278835,TRUE,27
N12,naming,word,high,high,6,stated,.689,-.372514007968479,TRUE,27
N12,naming,word,low,low,6,glowed,1.072,.0695260626486103,TRUE,27
N12,naming,word,high,low,6,dating,.689,-.372514007968479,TRUE,27
N12,naming,word,low,low,4,chef,2.576,.946237808242107,TRUE,27
N12,naming,nonword,low,high,5,dzeam,1.931,.658038003446377,TRUE,27
N12,naming,nonword,low,low,6,cruled,1.333,.287432041196572,TRUE,27
N12,naming,word,low,high,4,sign,1.087,.0834216081390724,TRUE,27
N12,naming,nonword,low,low,5,plood,.856,-.155484902840395,TRUE,27
N12,naming,word,high,high,5,track,.751,-.286349627218002,TRUE,27
N12,naming,nonword,low,low,6,mowlds,1.738,.5527350268432,TRUE,27
N12,naming,word,high,high,4,safe,1.007,.00697561373642514,TRUE,27
N12,naming,word,low,low,4,levy,.735,-.3078847797693,TRUE,27
N12,naming,nonword,high,high,5,waued,1.662,.508021696433256,TRUE,27
N12,naming,nonword,low,high,4,dwrm,2.543,.933344486439983,TRUE,27
N12,naming,nonword,high,high,6,uoiled,1.599,.469378433851817,TRUE,27
N12,naming,nonword,low,low,5,pryts,1.22,.198850858745165,TRUE,27
N12,naming,nonword,low,high,5,snohd,1.201,.183154543097847,TRUE,27
N12,naming,word,high,high,5,rates,.798,-.225646681532328,TRUE,27
N12,naming,nonword,high,low,6,zailed,.734,-.309246250367621,TRUE,27
N12,naming,nonword,high,low,5,dedge,1.548,.436963775167535,TRUE,27
N12,naming,word,high,low,4,wail,1.099,.0944006754214843,TRUE,27
N12,naming,word,high,high,4,milk,.946,-.0555127099302588,TRUE,27
N12,naming,nonword,high,high,4,uile,1.129,.121332285167525,TRUE,27
N12,naming,nonword,low,low,5,slefs,.845,-.168418651624963,TRUE,27
N12,naming,nonword,low,low,4,keph,.776,-.253602758798918,TRUE,27
N12,naming,word,low,low,6,hinted,.656,-.421594490038048,TRUE,27
N12,naming,word,high,low,6,cocked,.733,-.310609577095486,TRUE,27
N12,naming,word,low,high,4,drew,.893,-.113168698105638,TRUE,27
N12,naming,word,high,high,5,lines,.605,-.502526820951296,TRUE,27
N12,naming,nonword,low,high,6,triues,1.917,.650761464063507,TRUE,27
N12,naming,nonword,low,high,5,moqld,1.763,.567016903415733,TRUE,27
N12,naming,nonword,high,low,4,lois,1.009,.0089597413714718,TRUE,27
N12,naming,word,low,low,4,loaf,.81,-.210721031315653,TRUE,27
N12,naming,nonword,low,high,4,xazz,1.042,.0411419433311752,TRUE,27
N12,naming,word,high,high,6,locked,1.165,.152721087017664,TRUE,27
N12,naming,nonword,high,high,5,oeats,.902,-.103140758919513,TRUE,27
N12,naming,word,high,high,5,moves,.808,-.213193220461042,TRUE,27
N12,naming,word,high,low,4,hush,.639,-.447850824604602,TRUE,27
N12,naming,nonword,high,low,6,craked,.587,-.532730459154041,TRUE,27
N12,naming,word,low,high,6,belong,1.012,.0119285708652738,TRUE,27
N12,naming,nonword,high,low,4,toop,.817,-.202116184122134,TRUE,27
N12,naming,word,high,high,4,post,.66,-.415515443961666,TRUE,27
N12,naming,word,low,low,5,easel,.805,-.216913001563574,TRUE,27
N12,naming,nonword,low,low,6,bounge,.885,-.122167633974208,TRUE,27
N12,naming,word,low,high,5,names,.821,-.197232169529709,TRUE,27
N12,naming,nonword,high,high,6,uucked,1.606,.47374661552457,TRUE,27
N12,naming,word,high,low,4,worm,1.757,.56360780920496,TRUE,27
N12,naming,word,high,low,5,pears,1.168,.155292884406035,TRUE,27
N12,naming,nonword,high,low,6,swores,2.561,.940397807217388,TRUE,27
N12,naming,word,low,high,6,engine,1.195,.178146185383474,TRUE,27
N12,naming,nonword,high,low,4,salf,.677,-.390084006069862,TRUE,27
N12,naming,word,low,low,6,bolted,.771,-.260066905418808,TRUE,27
N12,naming,nonword,low,low,6,blorgs,.921,-.0822952427268302,TRUE,27
N12,naming,nonword,low,low,6,sprour,1.535,.42853038103916,TRUE,27
N12,naming,nonword,high,high,4,siae,1.033,.0324671901375014,TRUE,27
N12,naming,nonword,high,low,6,poiled,1.295,.258510695151501,TRUE,27
N12,naming,word,high,low,6,raving,.884,-.123298216344494,TRUE,27
N12,naming,nonword,high,high,6,seaqed,.832,-.183922838160928,TRUE,27
N12,naming,nonword,low,high,4,wefg,1.048,.0468835858988505,TRUE,27
N12,naming,nonword,low,high,5,psems,1.22,.198850858745165,TRUE,27
N12,naming,word,high,high,6,rights,1.052,.0506931143155182,TRUE,27
N12,naming,nonword,high,high,5,uares,1.299,.261594737688462,TRUE,27
N12,naming,nonword,high,low,5,stams,1.071,.0685927914656117,TRUE,27
N12,naming,nonword,low,low,5,kwauc,1.265,.235072122179483,TRUE,27
N12,naming,word,high,high,5,store,.924,-.0790432073404529,TRUE,27
N12,naming,word,high,high,4,blow,.745,-.294371060602578,TRUE,27
N12,naming,word,low,high,6,lifted,.929,-.0736465401682985,TRUE,27
N12,naming,nonword,low,high,5,tyded,1.052,.0506931143155182,TRUE,27
N12,naming,nonword,low,low,6,quetts,.77,-.261364764134408,TRUE,27
N12,naming,word,low,low,5,discs,.727,-.318828801448618,TRUE,27
N12,naming,word,low,low,6,draped,.836,-.179126665897435,TRUE,27
N12,naming,nonword,low,high,4,zoae,.963,-.0377018671840115,TRUE,27
N12,naming,word,low,low,6,summed,.733,-.310609577095486,TRUE,27
N12,naming,nonword,high,high,4,uows,1.155,.144100343973757,TRUE,27
N12,naming,word,high,low,6,potted,1.341,.293415604299541,TRUE,27
N12,naming,word,low,high,5,steel,.634,-.455706324544911,TRUE,27
N12,naming,nonword,low,high,4,seqp,1.313,.272314595320659,TRUE,27
N12,naming,word,low,low,4,numb,.844,-.16960278438618,TRUE,27
N12,naming,word,low,high,5,ideal,.642,-.443166975292176,TRUE,27
N12,naming,word,low,high,4,copy,1.145,.135404637006203,TRUE,27
N12,naming,word,high,high,5,beach,.869,-.140412153716745,TRUE,27
N12,naming,word,high,low,4,hack,.567,-.567395975254385,TRUE,27
N12,naming,word,low,high,6,proved,.791,-.234457311214483,TRUE,27
N12,naming,word,high,high,6,picked,.731,-.313341819232359,TRUE,27
N12,naming,word,high,low,6,washes,.74,-.301105092783922,TRUE,27
N12,naming,nonword,low,high,4,murw,1.673,.514618422004687,TRUE,27
N12,naming,nonword,low,high,5,nocve,2.376,.865418401500398,TRUE,27
N12,naming,nonword,high,high,4,uood,1.028,.0276151670329734,TRUE,27
N12,naming,word,low,low,4,hazy,.788,-.238257189124258,TRUE,27
N12,naming,nonword,high,low,4,fler,1.025,.0246926125903714,TRUE,27
N12,naming,nonword,low,low,6,whoals,.907,-.0976128288670004,TRUE,27
N12,naming,nonword,low,low,5,teene,.946,-.0555127099302588,TRUE,27
N12,naming,nonword,low,low,4,dwur,.891,-.115410851511328,TRUE,27
N12,naming,nonword,low,high,6,uifths,1.284,.249980205267769,TRUE,27
N12,naming,word,low,high,5,loose,.829,-.187535123846842,TRUE,27
N12,naming,nonword,low,high,6,vrites,1.16,.148420005118273,TRUE,27
N12,naming,word,low,high,6,smiled,.799,-.224394333215862,TRUE,27
N12,naming,word,high,high,6,master,.658,-.41855034765682,TRUE,27
N12,naming,word,high,high,4,tour,.67,-.400477566597125,TRUE,27
N12,naming,word,high,low,6,jagged,1.16,.148420005118273,TRUE,27
N12,naming,word,low,high,4,duty,.843,-.170788320980282,TRUE,27
N12,naming,nonword,low,low,4,snuz,.782,-.245900538436826,TRUE,27
N12,naming,nonword,high,low,6,vocked,.794,-.230671817735001,TRUE,27
N12,naming,word,low,low,5,clues,.781,-.247180129142451,TRUE,27
N12,naming,word,high,low,5,gears,.805,-.216913001563574,TRUE,27
N12,naming,nonword,high,low,6,eacked,1.305,.266203040774657,TRUE,27
